month,transaction_type,is_three,amount
2025-10,charges,False,-29148.940000000002
2025-10,charges,True,-5221.78
2025-11,Subscriptions,False,5805.29
2025-11,Subscriptions,True,0.0
2025-11,charges,False,-32758.96
2025-11,charges,True,-117556.2
2025-12,Subscriptions,False,100863.28
2025-12,Subscriptions,True,0.0
2025-12,charges,False,-111402.92
2025-12,charges,True,-2825.0
2025-9,charges,False,-350.07
2025-9,charges,True,-6635.03
2026-1,Subscriptions,False,72196.45
2026-1,Subscriptions,True,750.0
2026-1,charges,False,-83791.11
2026-1,charges,True,-1925.0
2026-2,Subscriptions,False,71484.34
2026-2,Subscriptions,True,500.0
2026-2,charges,False,-79137.09
2026-2,charges,True,-1925.0
2026-3,Subscriptions,False,90366.31
2026-3,Subscriptions,True,750.0
2026-3,charges,False,-88438.16
2026-3,charges,True,-2255.0
2026-4,Subscriptions,False,81283.56
2026-4,Subscriptions,True,250.0
2026-4,charges,False,-88941.81999999999
2026-4,charges,True,-2255.0
2026-5,Subscriptions,False,51176.07
2026-5,charges,False,-70500.0
2026-5,charges,True,-2050.0
